test,r1,r2,r3,r4,r5,min,max,avg,std
test_01,0.001557,0.001058,0.001004,0.001034,0.001003,0.001003,0.001557,0.001131,0.000214
test_02,0.038181,0.038660,0.037222,0.037155,0.038656,0.037155,0.038660,0.037975,0.000666
test_03,0.000872,0.000841,0.000940,0.000897,0.000872,0.000841,0.000940,0.000884,0.000033
test_04,0.000872,0.000882,0.000962,0.000878,0.000857,0.000857,0.000962,0.000890,0.000037
test_05,0.000961,0.000973,0.000833,0.000886,0.000872,0.000833,0.000973,0.000905,0.000054
test_06,0.000877,0.000865,0.000883,0.000857,0.000890,0.000857,0.000890,0.000874,0.000012
test_07,0.109779,0.109836,0.108189,0.092639,0.088611,0.088611,0.109836,0.101811,0.009240
test_08,0.028540,0.029683,0.032556,0.032268,0.031468,0.028540,0.032556,0.030903,0.001548
test_09,0.000861,0.000865,0.000855,0.000851,0.000919,0.000851,0.000919,0.000870,0.000025
