test,r1,r2,r3,r4,r5,min,max,avg,std
test_01,0.001483,0.001065,0.000988,0.000961,0.000983,0.000961,0.001483,0.001096,0.000197
test_02,0.034462,0.035616,0.035342,0.034527,0.035780,0.034462,0.035780,0.035145,0.000550
test_03,0.000880,0.000917,0.000841,0.000847,0.000845,0.000841,0.000917,0.000866,0.000029
test_04,0.000849,0.000849,0.000866,0.000844,0.000881,0.000844,0.000881,0.000858,0.000014
test_05,0.000953,0.000840,0.000866,0.000876,0.000859,0.000840,0.000953,0.000879,0.000039
test_06,0.000899,0.000861,0.000915,0.000835,0.000850,0.000835,0.000915,0.000872,0.000030
test_07,0.144781,0.118006,0.118429,0.119015,0.117246,0.117246,0.144781,0.123495,0.010658
test_08,0.140647,0.140624,0.140847,0.140885,0.140991,0.140624,0.140991,0.140799,0.000142
test_09,0.000881,0.000881,0.000859,0.000901,0.000871,0.000859,0.000901,0.000879,0.000014
