test,block_size,avg_time_ns
test_02,32,25.899.0778
test_02,64,26.128.7932
test_02,128,26.844.9489
test_02,256,26.209.4667
test_02,512,25.624.6680
test_07,32,24.284.7796
test_07,64,26.490.8786
test_07,128,25.918.1572
test_07,256,25.386.4560
test_07,512,26.686.3591
test_08,32,24.836.3922
test_08,64,25.567.0107
test_08,128,26.420.7605
test_08,256,25.825.6554
test_08,512,26.733.9948
