test,r1,r2,r3,r4,r5,min,max,avg,std
test_01,0.001464,0.001002,0.001030,0.000988,0.001061,0.000988,0.001464,0.001109,0.000179
test_02,0.036580,0.037943,0.036623,0.037889,0.036597,0.036580,0.037943,0.037126,0.000645
test_03,0.000874,0.000846,0.000872,0.000861,0.000860,0.000846,0.000874,0.000863,0.000010
test_04,0.000862,0.000858,0.000877,0.000872,0.000896,0.000858,0.000896,0.000873,0.000013
test_05,0.000888,0.000879,0.000852,0.000880,0.000853,0.000852,0.000888,0.000870,0.000015
test_06,0.000859,0.000855,0.000855,0.000852,0.000867,0.000852,0.000867,0.000858,0.000005
test_07,0.108113,0.106644,0.094507,0.088295,0.087972,0.087972,0.108113,0.097106,0.008717
test_08,0.030965,0.029902,0.030914,0.030904,0.032011,0.029902,0.032011,0.030939,0.000667
test_09,0.000857,0.000838,0.000861,0.000871,0.000858,0.000838,0.000871,0.000857,0.000011
