test,r1,r2,r3,r4,r5,min,max,avg,std
test_01,0.001557,0.001138,0.001108,0.001004,0.001175,0.001004,0.001557,0.001196,0.000189
test_02,0.036115,0.035931,0.034619,0.035928,0.036158,0.034619,0.036158,0.035750,0.000573
test_03,0.000909,0.000869,0.000875,0.001051,0.000958,0.000869,0.001051,0.000932,0.000067
test_04,0.000956,0.000885,0.000869,0.000993,0.000900,0.000869,0.000993,0.000921,0.000047
test_05,0.000846,0.000887,0.000926,0.000916,0.000874,0.000846,0.000926,0.000890,0.000029
test_06,0.000993,0.001032,0.000929,0.000848,0.000899,0.000848,0.001032,0.000940,0.000066
test_07,0.111453,0.088177,0.088396,0.089110,0.088412,0.088177,0.111453,0.093110,0.009177
test_08,0.054475,0.053286,0.054479,0.061086,0.061053,0.053286,0.061086,0.056876,0.003452
test_09,0.001019,0.001015,0.000878,0.000872,0.000992,0.000872,0.001019,0.000955,0.000066
